,,,,,,,,,,,
,"TIM PENGAMPU PA/TA FIK, -TUGAS AKHIR 2 - A11.4701",,,,,,,,,,
,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,Skor
,4 : 192 mhs,4 : 182 mhs,4 : 186 mhs,4 : 222 mhs,4 : 191 mhs,4 : 192 mhs,4 : 184 mhs,4 : 190 mhs,4 : 186 mhs,4 : 188 mhs,
,3 : 99 mhs,3 : 109 mhs,3 : 106 mhs,3 : 70 mhs,3 : 100 mhs,3 : 100 mhs,3 : 106 mhs,3 : 100 mhs,3 : 106 mhs,3 : 103 mhs,
,2 : 4 mhs,2 : 4 mhs,2 : 2 mhs,2 : 3 mhs,2 : 4 mhs,2 : 3 mhs,2 : 5 mhs,2 : 5 mhs,2 : 3 mhs,2 : 4 mhs,
,1 : 0 mhs,1 : 0 mhs,1 : 1 mhs,1 : 0 mhs,1 : 0 mhs,1 : 0 mhs,1 : 0 mhs,1 : 0 mhs,1 : 0 mhs,1 : 0 mhs,
,,,,,,,,,,,90.88 (4)
,Saran,,,,,,,,,,
,1.Belum ada,,,,,,,,,,
,2.Terima Kasih atas Bimbingan selama ini Pak ????????,,,,,,,,,,
,3.Baik,,,,,,,,,,
,4.g,,,,,,,,,,
,5.Ditingkatkan kembali terutama informasi terkait penulisan TA,,,,,,,,,,
,6.Ga jelas,,,,,,,,,,
,7.Materi terkait TA dipaparkan secara jelas ,,,,,,,,,,
,8.terima kasih,,,,,,,,,,
,9.Kembangkan lagi,,,,,,,,,,
,10.Saya kurang bisa mengikuti perkuliahan TA tetapi saya akan berusaha.,,,,,,,,,,
,11.y,,,,,,,,,,
,12.Sudah cukup,,,,,,,,,,
,13.baik,,,,,,,,,,
,14.Good,,,,,,,,,,
,15.cukup,,,,,,,,,,
,16.Terima kasih atas bimbingannya.. Mohon maaf sayanya yang slow progress :(,,,,,,,,,,
,17.Tambah informasi,,,,,,,,,,
,18.Ok,,,,,,,,,,
,19.Bagus,,,,,,,,,,
,20.cukup sudah,,,,,,,,,,
,21.ok,,,,,,,,,,
,22.Cukup,,,,,,,,,,
,23.keren,,,,,,,,,,
,24.Semoga lebih baik kedepannya,,,,,,,,,,
,25.Semoga tidak terlambat saat masuk kelas,,,,,,,,,,
,26.ok,,,,,,,,,,
,27.Sudah bagus,,,,,,,,,,
,28.Baik,,,,,,,,,,
,29.Baik,,,,,,,,,,
,30.Memberikan referensi semaksimal mungkin bagi mahasiswa yang serius mengerjakan TA 1,,,,,,,,,,
,31.__,,,,,,,,,,
,32.cukup,,,,,,,,,,
,33.Ok,,,,,,,,,,
,"34.Semoga selalu sehat, agar dapat memberikan ilmu yang bermanfaat.",,,,,,,,,,
,35.semog banyak dosen seperti beliau,,,,,,,,,,
,36..,,,,,,,,,,
,"37.semoga lebih baik lagi dalam menyampaikan materi dengan jelas
",,,,,,,,,,
,38.sangat baik,,,,,,,,,,
,39.sehat selalu pak,,,,,,,,,,
,40.Semangat terus bapak/ibu ngajarnya,,,,,,,,,,
,41.mantap,,,,,,,,,,
,42.bagus,,,,,,,,,,
,43.Buat yang tau tau aja,,,,,,,,,,
,44..,,,,,,,,,,
,"45.nice
",,,,,,,,,,
,46.Permudah mahasiswa untuk wisuda,,,,,,,,,,
,47.Cukup baik,,,,,,,,,,
,48.baik,,,,,,,,,,
,49.Sudah cukup bagus dalam membantu memberikan tawaran kepada mahasiswa,,,,,,,,,,
,50.belum ada,,,,,,,,,,
,51.sudah sesuai jadi cukup dipertahankan gaya belajarnya dan semoga kedepannya lebih baik lagi,,,,,,,,,,
,52.A,,,,,,,,,,
,"53.semoga jadwal sidang tidak dadakan ya pak/bu, agar lebih prepare, terimakasih",,,,,,,,,,
,54.Dosen pembimbing tidak memberikan solusi bagi mahasiswanya,,,,,,,,,,
,55,,,,,,,,,,
,56.Grup telegram terlalu banyak anggota,,,,,,,,,,
,57.cukup,,,,,,,,,,
,58.bagus,,,,,,,,,,
,"59.Sejauh ini belajar berjalan dengan baik dan sangat memuaskan, hanya saja terkadang materi yang disampaikan melalui Telegram membuat saya merasa sedikit tertinggal informasi jika ada pertemuan seperti itu",,,,,,,,,,
,60.ok,,,,,,,,,,
,61.Baik,,,,,,,,,,
,62.Bagus,,,,,,,,,,
,63.Saya konversi,,,,,,,,,,
,64.baik,,,,,,,,,,
,65.menurut saya sudah sangat baik,,,,,,,,,,
,66. ,,,,,,,,,,
,67.oke,,,,,,,,,,
,68.Cukup,,,,,,,,,,
,69.Bai,,,,,,,,,,
,70.Belum ada saran,,,,,,,,,,
,71.Sangat baik ,,,,,,,,,,
,72.Sudah baik,,,,,,,,,,
,"73.Semoga lebih baik lagi kedepannya, jazakumullahu khairan",,,,,,,,,,
,74.pertahankan,,,,,,,,,,
,75.Belum ada,,,,,,,,,,
,76.tidak ada,,,,,,,,,,
,77.Belum ada,,,,,,,,,,
,78.Informasi tentang TA dari pihak prodi harus jelas. Dari Dosen pembimbing sudah baik infonya,,,,,,,,,,
,79.sukses,,,,,,,,,,
,80.Tidak ada,,,,,,,,,,
,81.bagus,,,,,,,,,,
,82.Baik,,,,,,,,,,
,83..,,,,,,,,,,
,84.ok,,,,,,,,,,
,85.semoga sehat selalu,,,,,,,,,,
,86.Belum ada,,,,,,,,,,
,87.bimbingan seharusnya bisa dilaksanakan secara online,,,,,,,,,,
,88.Baik,,,,,,,,,,
,89.sudah baik,,,,,,,,,,
,90.Sudah baik,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
2,"EGIA ROSI SUBHIYAKTO, M.Kom-SOFTWARE QUALITY AND TESTING - A11.43MBKM",,,,,,,,,,
,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,Skor
,4 : 43 mhs,4 : 44 mhs,4 : 45 mhs,4 : 53 mhs,4 : 44 mhs,4 : 44 mhs,4 : 42 mhs,4 : 45 mhs,4 : 43 mhs,4 : 46 mhs,
,3 : 27 mhs,3 : 26 mhs,3 : 26 mhs,3 : 17 mhs,3 : 26 mhs,3 : 26 mhs,3 : 28 mhs,3 : 25 mhs,3 : 28 mhs,3 : 25 mhs,
,2 : 1 mhs,2 : 1 mhs,2 : 0 mhs,2 : 0 mhs,2 : 0 mhs,2 : 0 mhs,2 : 1 mhs,2 : 1 mhs,2 : 0 mhs,2 : 0 mhs,
,1 : 0 mhs,1 : 0 mhs,1 : 0 mhs,1 : 1 mhs,1 : 1 mhs,1 : 1 mhs,1 : 0 mhs,1 : 0 mhs,1 : 0 mhs,1 : 0 mhs,
,,,,,,,,,,,90.46 (4)
,Saran,,,,,,,,,,
,1.Sudah interaktif dan baik ,,,,,,,,,,
,2.di tingkatkan lg,,,,,,,,,,
,3.ya nda tau kok tanya saya,,,,,,,,,,
,4.Semangat pak,,,,,,,,,,
,5. I,,,,,,,,,,
,6.terbaik,,,,,,,,,,
,,,,,,,,,,,
,"EGIA ROSI SUBHIYAKTO, M.Kom-REKAYASA PERANGKAT LUNAK LANJUT - A11.43RPL2",,,,,,,,,,
,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,Skor
,4 : 27 mhs,4 : 26 mhs,4 : 24 mhs,4 : 35 mhs,4 : 27 mhs,4 : 23 mhs,4 : 24 mhs,4 : 25 mhs,4 : 24 mhs,4 : 24 mhs,
,3 : 13 mhs,3 : 14 mhs,3 : 16 mhs,3 : 5 mhs,3 : 13 mhs,3 : 17 mhs,3 : 16 mhs,3 : 15 mhs,3 : 16 mhs,3 : 16 mhs,
,2 : 0 mhs,2 : 0 mhs,2 : 0 mhs,2 : 0 mhs,2 : 0 mhs,2 : 0 mhs,2 : 0 mhs,2 : 0 mhs,2 : 0 mhs,2 : 0 mhs,
,1 : 0 mhs,1 : 0 mhs,1 : 0 mhs,1 : 0 mhs,1 : 0 mhs,1 : 0 mhs,1 : 0 mhs,1 : 0 mhs,1 : 0 mhs,1 : 0 mhs,
,,,,,,,,,,,91.19 (4)
,Saran,,,,,,,,,,
,1.Sehat sehat pak,,,,,,,,,,
,2.Sempurna,,,,,,,,,,
,3.tidak ada,,,,,,,,,,
,4.Semoga lebih baik kedepannya,,,,,,,,,,
,,,,,,,,,,,
,"EGIA ROSI SUBHIYAKTO, M.Kom-SOFTWARE QUALITY AND TESTING - A11.4501",,,,,,,,,,
,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,Skor
,4 : 27 mhs,4 : 26 mhs,4 : 26 mhs,4 : 33 mhs,4 : 27 mhs,4 : 29 mhs,4 : 24 mhs,4 : 28 mhs,4 : 27 mhs,4 : 25 mhs,
,3 : 8 mhs,3 : 10 mhs,3 : 10 mhs,3 : 3 mhs,3 : 9 mhs,3 : 7 mhs,3 : 12 mhs,3 : 8 mhs,3 : 9 mhs,3 : 11 mhs,
,2 : 1 mhs,2 : 0 mhs,2 : 0 mhs,2 : 0 mhs,2 : 0 mhs,2 : 0 mhs,2 : 0 mhs,2 : 0 mhs,2 : 0 mhs,2 : 0 mhs,
,1 : 0 mhs,1 : 0 mhs,1 : 0 mhs,1 : 0 mhs,1 : 0 mhs,1 : 0 mhs,1 : 0 mhs,1 : 0 mhs,1 : 0 mhs,1 : 0 mhs,
,,,,,,,,,,,93.82 (4)
,Saran,,,,,,,,,,
,1.Semangat pak ngajarnya,,,,,,,,,,
,2.sudah cukup baik,,,,,,,,,,
,3.mantap sih ,,,,,,,,,,
,,,,,,,,,,,
,"EGIA ROSI SUBHIYAKTO, M.Kom-REKAYASA PERANGKAT LUNAK LANJUT - A11.4502",,,,,,,,,,
,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,Skor
,4 : 31 mhs,4 : 32 mhs,4 : 33 mhs,4 : 34 mhs,4 : 31 mhs,4 : 29 mhs,4 : 28 mhs,4 : 30 mhs,4 : 32 mhs,4 : 29 mhs,
